faq_id,uuid,service_id,question,answer,short_answer,category,language,created_at
46,70cb742d-6653-4bbd-93b7-99fa1e097db0,3,How do I link PAN with Aadhaar?,You can link PAN with Aadhaar online through the Income Tax e-filing portal or by SMS.,,linking,en,2025-10-13 11:23:58.808868+05:30
47,c01dc86b-3fec-4288-803f-50d016f7321c,4,How can I check my EPF balance?,"You can check your EPF balance through the EPFO portal, UMANG app, or by giving a missed call to 9966044425.",,balance,en,2025-10-13 11:23:58.808868+05:30
48,60eded94-888d-4564-8e35-0a3d0751ac8f,4,When can I withdraw my EPF?,"You can withdraw EPF after retirement, resignation (after 2 months of unemployment), or for specific purposes like medical emergency or home purchase.",,withdrawal,en,2025-10-13 11:23:58.808868+05:30
49,91822880-c93e-43f8-b14f-d3fc2a97aa0b,4,How do I transfer my EPF from previous employer?,Submit a transfer claim through the EPFO portal using your UAN. The process is online and paperless.,,transfer,en,2025-10-13 11:23:58.808868+05:30
50,f33bc4db-559c-47c5-bb83-a7dd672cd207,4,What is UAN in EPF?,Universal Account Number (UAN) is a unique 12-digit number assigned to each EPF member for life.,,general,en,2025-10-13 11:23:58.808868+05:30
51,d783a8c9-b589-4c1c-8ae5-aafc091d91df,4,How do I activate my UAN?,"Visit the EPFO portal, enter your UAN, verify with OTP, and set your password to activate.",,activation,en,2025-10-13 11:23:58.808868+05:30
52,b5d04dde-2aa0-47ca-b5eb-0ed4f8d6134e,1,What documents are required for driving license?,"You need age proof, address proof, passport-size photos, and learner's license for permanent DL application.",,documents,en,2025-10-13 11:23:58.808868+05:30
53,a729e10c-87de-4403-9e12-5de7cf077e13,1,How do I renew my driving license?,You can renew your DL online through the Parivahan portal or by visiting your local RTO.,,renewal,en,2025-10-13 11:23:58.808868+05:30
54,2e17a29d-f962-4a22-be74-7e7158fc4954,1,What is the validity of a driving license?,"A driving license is valid for 20 years from the date of issue or until the holder turns 50, whichever is earlier.",,validity,en,2025-10-13 11:23:58.808868+05:30
1,473f428e-56c0-4f14-b80f-243e34861daa,1,How to apply for passport?,Use the passport portal and submit required documents.,Use the passport portal and submit required documents.,passport,en,2025-10-08 14:44:00.628368+05:30
3,0b2afd2e-e6b1-4ddf-b1a9-196169b03ac4,1,Can I update my passport?,"Yes, use the passport update service.","Yes, use the passport update service.",passport,en,2025-10-08 14:44:00.628368+05:30
6,a8f6e4d0-31a2-43a2-a9b6-cca0b9e5d62c,2,Can I update my aadhaar?,"Yes, use the aadhaar update service.","Yes, use the aadhaar update service.",aadhaar,en,2025-10-08 14:44:00.628368+05:30
9,01d6789c-fe66-4e86-a4e1-d681f47debf5,3,Can I update my pan?,"Yes, use the pan update service.","Yes, use the pan update service.",pan,en,2025-10-08 14:44:00.628368+05:30
55,8fdb28ee-ab90-432f-8e6d-d5f46436948f,1,Can I apply for an international driving permit?,"Yes, you can apply for an IDP at your local RTO if you have a valid Indian driving license.",,international,en,2025-10-13 11:23:58.808868+05:30
56,9c34e58f-59e4-42a2-8185-35dc8365e1bc,1,How do I check my driving license status?,You can check your DL status online on the Parivahan portal using your application number.,,status,en,2025-10-13 11:23:58.808868+05:30
57,765ca933-3b98-4395-ba06-36522bd6baea,1,Who needs to file income tax returns?,Individuals with annual income above Rs. 2.5 lakh (Rs. 3 lakh for senior citizens) must file ITR.,,filing,en,2025-10-13 11:23:58.808868+05:30
59,acc8dc85-98ff-483a-9195-142cda21ec93,1,How do I file ITR online?,"Register on the Income Tax e-filing portal, select appropriate ITR form, fill details, and submit with verification.",,online,en,2025-10-13 11:23:58.808868+05:30
60,c4e1a765-cd98-492f-91a6-9af5db0d6a3a,1,What is Form 16?,Form 16 is a TDS certificate issued by employers showing salary paid and tax deducted.,,forms,en,2025-10-13 11:23:58.808868+05:30
61,f47fd321-2358-4440-a588-35cb592aff16,1,Can I revise my ITR?,"Yes, you can revise your ITR before the end of the assessment year or before completion of assessment.",,revision,en,2025-10-13 11:23:58.808868+05:30
62,9f266e6a-efa7-4159-b157-9c52bf94b1ca,1,What is GST registration threshold?,Businesses with annual turnover above Rs. 40 lakh (Rs. 20 lakh for special category states) must register for GST.,,registration,en,2025-10-13 11:23:58.808868+05:30
63,13470c2e-8c0b-43f8-bfbb-2b4267cd6f1c,1,How do I file GST returns?,File GST returns online through the GST portal by the due date based on your registration type.,,returns,en,2025-10-13 11:23:58.808868+05:30
64,ef10946f-5374-4ea6-9c95-1250ad23d411,1,What is the GST rate structure?,"GST has multiple slabs: 0%, 5%, 12%, 18%, and 28%, depending on the goods or services.",,rates,en,2025-10-13 11:23:58.808868+05:30
65,8231b269-d0b1-4c8f-a71c-b07d97fe4344,1,Can I claim input tax credit?,"Yes, registered taxpayers can claim ITC on purchases used for business purposes.",,credit,en,2025-10-13 11:23:58.808868+05:30
66,a7e5aa80-5c31-4202-9762-e723d579e254,1,What is GSTIN?,GSTIN is a unique 15-digit identification number assigned to every GST registered business.,,general,en,2025-10-13 11:23:58.808868+05:30
67,df5f7579-8fb8-4cb7-8e94-474d5b92c9b4,1,How do I apply for a voter ID card?,You can apply online through the National Voter Service Portal or submit Form 6 at your local electoral office.,,application,en,2025-10-13 11:23:58.808868+05:30
68,384d9b16-e688-4da3-be75-55ea436add54,1,What is the minimum age for voter ID?,You must be 18 years or older on the qualifying date to be eligible for voter registration.,,eligibility,en,2025-10-13 11:23:58.808868+05:30
69,3e93e3d3-5afb-4073-9900-c6c695652e2a,1,What is Form 26AS?,"Form 26AS is an annual consolidated tax statement showing all tax-related information including TDS, TCS, advance tax, and self-assessment tax.",,forms,en,2025-10-13 11:42:35.827924+05:30
70,0dcb0f09-cfd2-46d7-bf0b-abb0720e48cb,1,How do I file ITR online for free?,You can file ITR online for free using the Income Tax e-filing portal. Choose the appropriate ITR form based on your income sources.,,filing,en,2025-10-13 11:42:35.827924+05:30
71,4e1d290a-efae-44bd-b040-a7dfd8f12b0e,1,What is the penalty for late filing of ITR?,"The penalty for late filing is Rs. 5,000 if filed before December 31st, and Rs. 10,000 if filed after that date.",,penalties,en,2025-10-13 11:42:35.827924+05:30
72,4f1d9528-344b-49c9-b6a0-628fed1ca04d,1,Can I revise my ITR multiple times?,"Yes, you can revise your ITR multiple times before the end of the assessment year or before completion of assessment.",,revision,en,2025-10-13 11:42:35.827924+05:30
73,a5cd13a8-313c-4e0d-9845-903e50f19a96,1,What is the difference between ITR-1 and ITR-2?,"ITR-1 is for individuals with salary income, while ITR-2 is for individuals with capital gains or income from house property.",,forms,en,2025-10-13 11:42:35.827924+05:30
74,48db0fb8-f312-4099-9239-217957ebaf0f,1,What is the penalty for late GST filing?,"The penalty for late filing is Rs. 100 per day (Rs. 50 each for CGST and SGST) with a maximum of Rs. 5,000.",,penalties,en,2025-10-13 11:42:35.827924+05:30
75,3a11bd5d-6279-4b84-94b8-b6ca89a87d69,1,How do I apply for GST composition scheme?,Apply for composition scheme by filing CMP-02 form on the GST portal before the start of the financial year.,,composition,en,2025-10-13 11:42:35.827924+05:30
76,aef9ef1a-c2e7-4b2a-92ef-9b21fc53a42c,1,What is the difference between GSTR-1 and GSTR-3B?,"GSTR-1 contains outward supplies details, while GSTR-3B is a monthly summary return with tax payment.",,returns,en,2025-10-13 11:42:35.827924+05:30
77,3535ddb1-8544-4bd1-a3c6-e9dfd6e90160,1,Can I claim ITC on capital goods?,"Yes, you can claim ITC on capital goods used for business purposes, subject to certain conditions.",,credit,en,2025-10-13 11:42:35.827924+05:30
78,123d0fe2-7e7b-4a00-a00b-0edbeb0bec25,1,What is the time limit for GST registration?,You must apply for GST registration within 30 days of becoming liable for registration.,,registration,en,2025-10-13 11:42:35.827924+05:30
79,7b68c144-680d-40cf-813a-e6ce6926a7a1,1,How do I check my polling station?,Check your polling station details on the CEO website of your state or the National Voter Service Portal.,,polling,en,2025-10-13 11:42:35.827924+05:30
80,0e5baf6d-b892-4e61-86a9-0b1ee36bc26f,1,What documents are required for voter registration?,"You need proof of identity, proof of address, and date of birth proof for voter registration.",,documents,en,2025-10-13 11:42:35.827924+05:30
81,275aa93a-11aa-4397-bdec-0965710b3601,1,Can I vote if my name is not in the voter list?,"No, you cannot vote if your name is not in the electoral roll. You must register first.",,eligibility,en,2025-10-13 11:42:35.827924+05:30
82,2d1bf986-1838-47a7-b190-fb9a015ae093,1,How do I update my photo in voter ID?,Submit Form 8 with a new passport-size photo at your local electoral office or online portal.,,update,en,2025-10-13 11:42:35.827924+05:30
83,f4841456-0d3f-4e4f-ad63-97fdb1d79468,1,What is the age limit for voter registration?,You must be at least 18 years old on the qualifying date (January 1st of the year) to register as a voter.,,age,en,2025-10-13 11:42:35.827924+05:30
84,685e2b4e-3d12-41f2-a3a3-e3edc8e8ebff,1,How do I check my ration card status?,Check your ration card status online on your state's food and civil supplies department website.,,status,en,2025-10-13 11:42:35.827924+05:30
85,72b1b06f-67c0-4af2-a8dc-31438a52274a,1,What is the validity of a ration card?,Ration cards are generally valid for 5 years and need to be renewed before expiry.,,validity,en,2025-10-13 11:42:35.827924+05:30
86,ab4bca55-a00b-48e8-8fe5-2366e48f384f,1,How do I add a new family member to my ration card?,Submit an application with required documents and passport-size photos to your local ration office.,,addition,en,2025-10-13 11:42:35.827924+05:30
87,72acd26b-81f7-4735-9086-66829386fdee,1,What is the difference between APL and BPL cards?,"APL (Above Poverty Line) cards are for higher-income families, while BPL (Below Poverty Line) cards are for economically weaker families.",,types,en,2025-10-13 11:42:35.827924+05:30
88,3852d914-f17e-4c0b-9a3f-f2fcdd004096,1,Can I use my ration card as identity proof?,"Yes, ration cards are accepted as valid identity proof for various government and private purposes.",,identity,en,2025-10-13 11:42:35.827924+05:30
89,745dbaad-0f7b-4486-bb5a-7d3db18ef3c4,1,How do I open a Jan Dhan account?,Visit any bank branch with Aadhaar card and fill out the Pradhan Mantri Jan Dhan Yojana account opening form.,,jan_dhan,en,2025-10-13 11:42:35.827924+05:30
90,9d044a91-e36d-472e-b8f6-559eafd96941,1,What is the minimum balance for savings account?,"Many banks offer zero balance savings accounts. For regular accounts, minimum balance varies from Rs. 1,000 to Rs. 10,000.",,minimum_balance,en,2025-10-13 11:42:35.827924+05:30
91,8cf4b2e7-a8e4-46bb-938f-1ee986770ce7,1,How do I link my Aadhaar with bank account?,Visit your bank branch with Aadhaar card or use net banking/mobile banking to link Aadhaar with your account.,,aadhaar_linking,en,2025-10-13 11:42:35.827924+05:30
92,68d355c4-e47c-4407-85dc-b32e97ee819b,1,What is the interest rate on savings account?,"Savings account interest rates typically range from 2.5% to 7% per annum, depending on the bank and balance.",,interest,en,2025-10-13 11:42:35.827924+05:30
93,03d077af-63ad-441b-a433-075114a4e7c1,1,How do I update my mobile number in bank account?,Visit your bank branch with a valid ID proof and fill out the mobile number update form.,,mobile_update,en,2025-10-13 11:42:35.827924+05:30
94,413384ce-b44a-4056-b71a-e6e71c70dfa0,1,How do I register for employment in rural areas?,Register at your local employment exchange or online through the National Career Service portal.,,registration,en,2025-10-13 11:42:35.827924+05:30
95,4ba7c41f-06cd-4e97-aa82-829f3bdb74ac,1,What is the minimum wage in India?,Minimum wage varies by state and skill level. It ranges from Rs. 176 to Rs. 450 per day across different states.,,minimum_wage,en,2025-10-13 11:42:35.827924+05:30
96,961d3101-bf5d-4db6-be04-f010fc0595b8,1,How do I apply for unemployment benefits?,Unemployment benefits are available through state employment exchanges. Check your state's employment department website.,,benefits,en,2025-10-13 11:42:35.827924+05:30
97,fad1881e-43c1-41ae-9a1f-dbbd40cd69f9,1,What is the Mahatma Gandhi National Rural Employment Guarantee Act?,MGNREGA guarantees 100 days of wage employment per year to rural households willing to do unskilled manual work.,,mgnrega,en,2025-10-13 11:42:35.827924+05:30
98,aa71c7b1-fb99-436a-adbd-6319c058efd0,1,How do I get a job card for MGNREGA?,Apply for a job card at your Gram Panchayat office with required documents including Aadhaar and ration card.,,job_card,en,2025-10-13 11:42:35.827924+05:30
99,675959c2-e29c-4c56-957e-a407636cefc0,1,How do I apply for Ayushman Bharat health card?,Apply online on the PM-JAY portal or visit a Common Service Centre with Aadhaar and ration card.,,ayushman_bharat,en,2025-10-13 11:42:35.827924+05:30
100,377660ba-ef51-4214-8ad7-747fee3bdf3e,1,What is the coverage under Ayushman Bharat?,Ayushman Bharat provides health coverage of up to Rs. 5 lakh per family per year for secondary and tertiary care.,,coverage,en,2025-10-13 11:42:35.827924+05:30
101,ad1b43ce-0ce8-40fd-a63b-1f131e7b7675,1,How do I find empaneled hospitals?,Search for empaneled hospitals on the PM-JAY website or call the helpline number 14555.,,hospitals,en,2025-10-13 11:42:35.827924+05:30
102,8d299e7e-f5dc-4005-8340-73cdb4a1bbd8,1,What is the Janani Suraksha Yojana?,JSY is a safe motherhood intervention providing cash assistance to pregnant women for institutional delivery.,,jsy,en,2025-10-13 11:42:35.827924+05:30
103,456f70d7-2e9d-4ed5-850c-b587dcf46861,1,How do I apply for disability certificate?,Apply at your district medical board with medical reports and photographs. The certificate is valid for 5 years.,,disability,en,2025-10-13 11:42:35.827924+05:30
104,56fe74cd-77c5-4d42-8500-db40b01c2b61,26,How do I apply for scholarships online?,Apply for various government scholarships through the National Scholarship Portal (scholarships.gov.in).,,scholarships,en,2025-10-13 11:42:35.827924+05:30
105,f7baf55f-731d-43a1-b904-d8b837448b15,26,What is the Right to Education Act?,RTE Act ensures free and compulsory education for children aged 6-14 years in government and aided schools.,,rte,en,2025-10-13 11:42:35.827924+05:30
106,ad9cbe45-3fc1-4a14-816f-44f2b517e636,26,How do I get admission under RTE quota?,Apply for admission under RTE quota at private schools through your state's education department portal.,,admission,en,2025-10-13 11:42:35.827924+05:30
107,acddeb60-21f9-4506-9bc1-adfd96e7bbf5,26,What is the Mid-Day Meal Scheme?,MDMS provides free lunch to students in government and government-aided schools to improve nutritional status.,,mid_day_meal,en,2025-10-13 11:42:35.827924+05:30
108,0e2aeda4-97e0-49a8-849b-474300ef5d13,26,How do I apply for student loan?,Apply for education loans at banks or through the Vidya Lakshmi portal for higher education financing.,,student_loan,en,2025-10-13 11:42:35.827924+05:30
109,0a9020bd-4514-4045-941c-6568ac613187,1,How do I apply for PM Kisan scheme?,Apply for PM Kisan benefits at your local agriculture office or online through the PM Kisan portal.,,pm_kisan,en,2025-10-13 11:42:35.827924+05:30
110,9427d911-a2dd-47e2-82e6-1a2d3a88d2f2,1,What is the amount under PM Kisan?,"PM Kisan provides Rs. 6,000 per year in three equal installments of Rs. 2,000 each to farmer families.",,amount,en,2025-10-13 11:42:35.827924+05:30
111,c91b2817-f3ec-4caf-9091-3406146654ef,1,How do I get soil health card?,Apply for soil health card at your local agriculture office or Krishi Vigyan Kendra.,,soil_card,en,2025-10-13 11:42:35.827924+05:30
112,212fdb8e-fed7-43ef-9b8d-dd59cc4c5a9c,1,What is the Pradhan Mantri Fasal Bima Yojana?,PMFBY is a crop insurance scheme providing financial support to farmers in case of crop failure.,,crop_insurance,en,2025-10-13 11:42:35.827924+05:30
113,c6c7c7ab-808a-479d-9488-efe9c13ec48d,1,How do I apply for KCC (Kisan Credit Card)?,"Apply for KCC at your bank with land documents, Aadhaar card, and passport-size photos.",,kcc,en,2025-10-13 11:42:35.827924+05:30
114,b4c56799-5cbe-4fe5-8b6c-ba2ee12a1a09,1,How do I apply for PM Awas Yojana?,Apply for PMAY benefits online through the PMAY portal or visit your local municipal office.,,pmay,en,2025-10-13 11:42:35.827924+05:30
115,95a9b160-f7cb-4eea-b051-4a635622659f,1,What is the subsidy under PMAY?,PMAY provides interest subsidy of up to Rs. 2.67 lakh for home loans under the Credit Linked Subsidy Scheme.,,subsidy,en,2025-10-13 11:42:35.827924+05:30
116,987a25d7-1f0c-4148-b343-4b59af7dec1d,1,How do I check my PMAY application status?,Check your PMAY application status online using your application number on the PMAY portal.,,status,en,2025-10-13 11:42:35.827924+05:30
117,79e775de-b307-41ea-96cb-1303cdbad17c,1,What is the Pradhan Mantri Awas Yojana Urban?,PMAY-U aims to provide affordable housing to urban poor through various schemes and subsidies.,,urban,en,2025-10-13 11:42:35.827924+05:30
118,3ed527e9-3d16-4e43-87ee-d14fcb109d58,1,How do I get a house site patta?,Apply for house site patta at your local revenue office with required documents and application form.,,patta,en,2025-10-13 11:42:35.827924+05:30
